model,device,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,h100,2,131072,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,46.65738710064535,64.68437422564536,123.92175163098385,373.34,sim 43s
microsoft/phi-2,h100,2,131072,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,46.65738710064535,64.68437422564536,123.92175163098385,373.34,sim 47s
microsoft/phi-2,h100,4,131072,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,240.6959641006454,256.7034497256454,31.179852373236372,1958.52,sim 84s
microsoft/phi-2,h100,4,131072,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,240.6959641006454,256.7034497256454,31.179852373236372,1958.52,sim 86s
microsoft/phi-2,h100,1,262144,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,80.21284628590931,128.2640495359093,62.433400145916266,788.91,sim 44s
microsoft/phi-2,h100,1,262144,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,80.21284628590931,128.2640495359093,62.433400145916266,788.91,sim 45s
microsoft/phi-2,h100,2,262144,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,370.2805857859095,512.3078356609095,15.619498759912467,3954.32,sim 159s
microsoft/phi-2,h100,2,262144,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,370.2805857859095,512.3078356609095,15.619498759912467,3954.32,sim 159s
microsoft/phi-2,a100,1,524288,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,640.3202762859097,1024.43593753591,7.810147574398069,7806.51,sim 315s
microsoft/phi-2,a100,1,524288,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,640.3202762859097,1024.43593753591,7.810147574398069,7806.51,sim 316s
microsoft/phi-2,a40,1,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 6s
microsoft/phi-2,a40,1,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,2,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 4s
microsoft/phi-2,a40,2,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,4,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,sim 4s
microsoft/phi-2,a40,4,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,8,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,sim 4s
microsoft/phi-2,a40,8,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,2,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 7s
microsoft/phi-2,a40,2,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,1,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 7s
microsoft/phi-2,a40,1,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,4,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,sim 4s
microsoft/phi-2,a40,4,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,39.9316283534031,42.44927090449645,189.02804049837673,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,8,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,sim 4s
microsoft/phi-2,a40,8,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,34.443346495749495,34.443346495749495,233.1284981655965,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,1,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,sim 9s
microsoft/phi-2,a40,1,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,65.76120957964349,105.141430805884,76.18037447694654,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a40,2,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,sim 7s
microsoft/phi-2,a40,2,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,46.77830476214973,64.07478372198986,125.10306110178574,0.0,copy-from-Dense (hbm_frac=1.0)
