model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
mistralai/Mixtral-8x7B-v0.1,blackwell,2,262144,Sparse,1,162.1,0.1,25.683951357158374,25.683951357158374,OK,111.5
mistralai/Mixtral-8x7B-v0.1,blackwell,4,8192,Dense,1,97.7,1.0,22.34295935715837,22.34295935715837,OK,46.2
mistralai/Mixtral-8x7B-v0.1,blackwell,4,8192,Sparse,1,97.7,0.1,17.29668735715837,17.29668735715837,OK,46.5
mistralai/Mixtral-8x7B-v0.1,blackwell,2,524288,Dense,1,230.8,1.0,195.68433535715837,195.68433535715837,OK,122.4
mistralai/Mixtral-8x7B-v0.1,blackwell,2,524288,Sparse,1,230.8,0.1,34.64599935715837,34.64599935715837,OK,124.6
mistralai/Mixtral-8x7B-v0.1,blackwell,4,16384,Dense,1,102.0,1.0,27.913519357158375,27.913519357158375,OK,68.1
mistralai/Mixtral-8x7B-v0.1,blackwell,4,16384,Sparse,1,102.0,0.1,17.87012735715837,17.87012735715837,OK,67.8
mistralai/Mixtral-8x7B-v0.1,blackwell,2,1048576,Sparse,2,368.3,0.1,32.501172554153904,32.501172554153904,OK,151.8
mistralai/Mixtral-8x7B-v0.1,blackwell,2,1048576,Dense,2,368.3,1.0,193.54770055415392,193.54770055415392,OK,156.0
mistralai/Mixtral-8x7B-v0.1,blackwell,4,32768,Dense,1,110.6,1.0,39.120175357158374,39.120175357158374,OK,104.9
mistralai/Mixtral-8x7B-v0.1,blackwell,4,32768,Sparse,1,110.6,0.1,18.984239357158373,18.984239357158373,OK,102.1
mistralai/Mixtral-8x7B-v0.1,blackwell,4,65536,Dense,1,127.8,1.0,61.46795135715838,61.46795135715838,OK,99.1
