model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
Llama-2-7b-hf,a100,32,4,162.53,179.33,29.75,33.04,5.463,585.15,0.0,44.68,244.02
Llama-2-7b-hf,a100,32,8,179.3,179.3,24.96,24.96,7.183,617.35,0.0,44.68,323.8
Llama-2-7b-hf,a100,32,16,179.3,179.3,24.96,24.96,7.183,617.35,0.0,44.68,323.8
Llama-2-7b-hf,a100,64,4,324.7,358.27,34.35,37.71,9.453,1300.93,18.69,22.35,213.58
Llama-2-7b-hf,a100,64,8,358.25,358.25,37.69,37.69,9.505,1333.13,50.89,22.35,213.73
Llama-2-7b-hf,a100,128,4,649.04,716.16,65.62,72.33,9.891,2732.5,157.17,11.17,110.99
Llama-2-7b-hf,a40,4,4,74.69,84.02,74.65,83.97,1.001,0.0,0.0,95.51,95.57
Llama-2-7b-hf,a40,4,8,61.14,61.14,61.16,61.16,1.0,0.0,0.0,131.4,131.34
Llama-2-7b-hf,a40,4,16,61.14,61.14,61.17,61.17,1.0,0.0,0.0,131.4,131.32
Llama-2-7b-hf,a40,4,32,61.15,61.15,61.15,61.15,1.0,0.0,0.0,131.37,131.37
Llama-2-7b-hf,a40,4,64,61.14,61.14,61.15,61.15,1.0,0.0,0.0,131.4,131.37
Llama-2-7b-hf,a40,4,128,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4
Llama-2-7b-hf,a40,8,4,74.64,83.97,74.64,83.97,1.0,0.0,0.0,95.56,95.56
Llama-2-7b-hf,a40,8,8,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4
Llama-2-7b-hf,a40,8,16,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4
Llama-2-7b-hf,a40,8,32,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4
Llama-2-7b-hf,a40,8,64,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4
Llama-2-7b-hf,a40,16,4,85.64,94.96,74.64,83.97,1.147,43.98,0.0,84.47,95.56
Llama-2-7b-hf,a40,16,8,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4
Llama-2-7b-hf,a40,16,16,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4
Llama-2-7b-hf,a40,16,32,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4
Llama-2-7b-hf,a40,32,4,163.93,180.72,74.64,83.97,2.196,387.0,0.0,44.33,95.56
Llama-2-7b-hf,a40,32,8,180.69,180.69,61.14,61.14,2.955,478.21,0.0,44.34,131.4
Llama-2-7b-hf,a40,32,16,180.69,180.69,61.14,61.14,2.955,478.21,0.0,44.34,131.4
Llama-2-7b-hf,a40,64,4,324.7,358.27,74.64,83.97,4.35,1097.21,0.0,22.35,95.56
Llama-2-7b-hf,a40,64,8,358.25,358.25,61.14,61.14,5.86,1188.42,0.0,22.35,131.4
Llama-2-7b-hf,a40,128,4,649.04,716.16,74.64,83.97,8.696,2528.78,0.0,11.17,95.56
Llama-2-7b-hf,h100,4,4,21.58,23.69,17.13,19.18,1.26,18.08,0.0,341.36,422.69
Llama-2-7b-hf,h100,4,8,23.67,23.67,12.85,12.85,1.842,43.26,0.0,341.73,635.3
Llama-2-7b-hf,h100,4,16,23.67,23.67,12.84,12.84,1.843,43.27,0.0,341.73,635.64
Llama-2-7b-hf,h100,4,32,23.67,23.67,12.85,12.85,1.842,43.27,0.0,341.73,635.36
Llama-2-7b-hf,h100,4,64,23.67,23.67,12.85,12.85,1.842,43.26,0.0,341.73,635.17
Llama-2-7b-hf,h100,4,128,23.67,23.67,12.85,12.85,1.842,43.28,0.0,341.73,635.36
