model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Dense,1,2215.1,1.0,284.51241593425664,284.51241593425664,OK,16.2
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Dense,2,2215.1,1.0,149.95835346838982,149.95835346838982,OK,16.7
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Dense,4,2215.1,1.0,78.54580001641628,85.1341404758047,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Dense,8,2215.1,1.0,44.59268166447543,51.10289469213932,OK,16.8
meta-llama/Meta-Llama-3-8B,blackwell,64,393216,Dense,2,3314.6,1.0,218.6778302043898,218.6778302043898,OK,18.0
meta-llama/Meta-Llama-3-8B,blackwell,64,393216,Dense,4,3314.6,1.0,115.60035675817923,119.49823662589954,OK,17.7
meta-llama/Meta-Llama-3-8B,blackwell,64,393216,Dense,8,3314.6,1.0,60.699689984475434,68.28276387613933,OK,18.2
meta-llama/Meta-Llama-3-8B,blackwell,64,524288,Dense,2,4414.1,1.0,287.39730694038985,287.39730694038985,OK,19.2
meta-llama/Meta-Llama-3-8B,blackwell,64,524288,Dense,4,4414.1,1.0,151.57144539817926,151.57144539817926,OK,19.1
meta-llama/Meta-Llama-3-8B,blackwell,64,524288,Dense,8,4414.1,1.0,79.0995211079374,85.46283816024594,OK,19.0
meta-llama/Meta-Llama-3-8B,blackwell,64,786432,Dense,4,6613.1,1.0,220.29092213417925,220.29092213417925,OK,21.7
meta-llama/Meta-Llama-3-8B,blackwell,64,786432,Dense,8,6613.1,1.0,115.88219986564177,119.82278162835256,OK,21.6
meta-llama/Meta-Llama-3-8B,blackwell,64,1048576,Dense,4,8812.2,1.0,289.01039887017924,289.01039887017924,OK,24.1
meta-llama/Meta-Llama-3-8B,blackwell,64,1048576,Dense,8,8812.2,1.0,151.85325573764177,151.85325573764177,OK,23.5
meta-llama/Meta-Llama-3-8B,blackwell,128,131072,Dense,1,2215.1,1.0,286.2761667505205,286.2761667505205,OK,19.1
meta-llama/Meta-Llama-3-8B,blackwell,128,131072,Dense,2,2215.1,1.0,143.60655303646107,154.22713095782137,OK,18.5
