model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,h100,128,16,268.73,268.73,33.71,33.71,7.972,940.09,0.0,29.8,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,128,32,266.5964,266.5964,33.7100,33.7100,7.9085,232.8864,0.0000,120.03,949.27,analytical
CodeLlama-34b-Instruct-hf,h100,128,64,266.6200,266.6200,33.7100,33.7100,7.9092,232.9100,0.0000,240.04,1898.55,analytical
CodeLlama-34b-Instruct-hf,h100,128,128,92.0686,92.0686,33.7100,33.7100,2.7312,58.3586,0.0000,1390.27,3797.09,analytical
CodeLlama-34b-Instruct-hf,h100,256,4,486.84,537.18,53.5,59.94,9.1,1914.55,5.59,14.9,134.04,simulated
CodeLlama-34b-Instruct-hf,h100,256,8,537.17,537.17,58.52,58.52,9.179,2013.84,99.25,14.9,137.3,simulated
CodeLlama-34b-Instruct-hf,h100,256,16,531.0449,531.0449,33.7100,33.7100,15.7533,497.3349,0.0000,30.13,474.64,analytical
CodeLlama-34b-Instruct-hf,h100,256,32,526.6479,526.6479,33.7100,33.7100,15.6229,492.9379,0.0000,60.76,949.27,analytical
CodeLlama-34b-Instruct-hf,h100,256,64,526.7000,526.7000,33.7100,33.7100,15.6244,492.9900,0.0000,121.51,1898.55,analytical
CodeLlama-34b-Instruct-hf,h100,256,128,153.0971,153.0971,33.7100,33.7100,4.5416,119.3871,0.0000,836.07,3797.09,analytical
CodeLlama-34b-Instruct-hf,h100,512,4,973.38,1074.05,100.49,110.56,9.686,4062.03,208.08,7.45,72.53,simulated
CodeLlama-34b-Instruct-hf,h100,512,8,1067.8269,1067.8269,58.5200,58.5200,18.2472,1009.3069,0.0000,7.49,136.71,analytical
CodeLlama-34b-Instruct-hf,h100,512,16,1056.1941,1056.1941,33.7100,33.7100,31.3318,1022.4841,0.0000,15.15,474.64,analytical
CodeLlama-34b-Instruct-hf,h100,512,32,1046.7507,1046.7507,33.7100,33.7100,31.0516,1013.0407,0.0000,30.57,949.27,analytical
CodeLlama-34b-Instruct-hf,h100,512,64,1046.8600,1046.8600,33.7100,33.7100,31.0549,1013.1500,0.0000,61.14,1898.55,analytical
CodeLlama-34b-Instruct-hf,h100,512,128,275.1543,275.1543,33.7100,33.7100,8.1624,241.4443,0.0000,465.19,3797.09,analytical
Llama-2-70b-hf,a100,4,4,191.13,214.87,191.08,214.82,1.0,0.0,0.0,37.28,37.29,simulated
Llama-2-70b-hf,a100,4,8,122.73,122.73,122.81,122.81,0.999,0.0,0.0,65.32,65.27,simulated
Llama-2-70b-hf,a100,4,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,4,32,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.28,65.27,simulated
Llama-2-70b-hf,a100,4,64,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.27,65.27,simulated
Llama-2-70b-hf,a100,4,128,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.28,65.27,simulated
Llama-2-70b-hf,a100,8,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27,simulated
Llama-2-70b-hf,a100,8,8,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,8,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,8,32,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,8,64,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,8,128,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28,simulated
Llama-2-70b-hf,a100,16,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27,simulated
